,000300.XSHG,000001.XSHG,399001.XSHE,399006.XSHE,399018.XSHE
0,600498.XSHG,600498.XSHG,002353.XSHE,300253.XSHE,300253.XSHE
1,601099.XSHG,603066.XSHG,300142.XSHE,300113.XSHE,300113.XSHE
2,000100.XSHE,601997.XSHG,300324.XSHE,300142.XSHE,300324.XSHE
3,000568.XSHE,600728.XSHG,300037.XSHE,300274.XSHE,300274.XSHE
4,002074.XSHE,600208.XSHG,000860.XSHE,300324.XSHE,300037.XSHE
5,000959.XSHE,603042.XSHG,002624.XSHE,300159.XSHE,300353.XSHE
6,600208.XSHG,600076.XSHG,000001.XSHE,300618.XSHE,300166.XSHE
7,000060.XSHE,600288.XSHG,002439.XSHE,300166.XSHE,300367.XSHE
8,601997.XSHG,600775.XSHG,300377.XSHE,300367.XSHE,300431.XSHE
9,000898.XSHE,600353.XSHG,300273.XSHE,300409.XSHE,300178.XSHE
10,600688.XSHG,603166.XSHG,300364.XSHE,300431.XSHE,300007.XSHE
11,601163.XSHG,601137.XSHG,000089.XSHE,300010.XSHE,300212.XSHE
12,600739.XSHG,603993.XSHG,000848.XSHE,300212.XSHE,300439.XSHE
13,600406.XSHG,601388.XSHG,002011.XSHE,300116.XSHE,300381.XSHE
14,600104.XSHG,600685.XSHG,002236.XSHE,300284.XSHE,300284.XSHE
15,601919.XSHG,600026.XSHG,300033.XSHE,300433.XSHE,300433.XSHE
16,600188.XSHG,600976.XSHG,000822.XSHE,300377.XSHE,300219.XSHE
17,002624.XSHE,600889.XSHG,000158.XSHE,300098.XSHE,300482.XSHE
18,002508.XSHE,600648.XSHG,000564.XSHE,300364.XSHE,300098.XSHE
19,601989.XSHG,600836.XSHG,002073.XSHE,300676.XSHE,300033.XSHE
20,600919.XSHG,603798.XSHG,300026.XSHE,300033.XSHE,300130.XSHE
21,000503.XSHE,603289.XSHG,002405.XSHE,300148.XSHE,300351.XSHE
22,600804.XSHG,603198.XSHG,300315.XSHE,300136.XSHE,300213.XSHE
23,600570.XSHG,600522.XSHG,300352.XSHE,300498.XSHE,300520.XSHE
24,600362.XSHG,603156.XSHG,002410.XSHE,300026.XSHE,300136.XSHE
25,000001.XSHE,600874.XSHG,002572.XSHE,300144.XSHE,300194.XSHE
26,000008.XSHE,600094.XSHG,000902.XSHE,300315.XSHE,300026.XSHE
27,601225.XSHG,600356.XSHG,002153.XSHE,300383.XSHE,300288.XSHE
28,601633.XSHG,603301.XSHG,300055.XSHE,300055.XSHE,300352.XSHE
29,002024.XSHE,601877.XSHG,000990.XSHE,300070.XSHE,300206.XSHE
30,002174.XSHE,603817.XSHG,002640.XSHE,300355.XSHE,300070.XSHE
31,000402.XSHE,601333.XSHG,000002.XSHE,300463.XSHE,300048.XSHE
32,600170.XSHG,603683.XSHG,000018.XSHE,300222.XSHE,300119.XSHE
33,600332.XSHG,600455.XSHG,000620.XSHE,300558.XSHE,300326.XSHE
34,603993.XSHG,600251.XSHG,002131.XSHE,300015.XSHE,300102.XSHE
35,000725.XSHE,600731.XSHG,002594.XSHE,300474.XSHE,300407.XSHE
36,600685.XSHG,603025.XSHG,002602.XSHE,300072.XSHE,300463.XSHE
37,600089.XSHG,603809.XSHG,002035.XSHE,300317.XSHE,300222.XSHE
38,601992.XSHG,600558.XSHG,002043.XSHE,300053.XSHE,300012.XSHE
39,600221.XSHG,603882.XSHG,002155.XSHE,300197.XSHE,300079.XSHE
40,000876.XSHE,603991.XSHG,000981.XSHE,300294.XSHE,300558.XSHE
41,002236.XSHE,600173.XSHG,300185.XSHE,300145.XSHE,300523.XSHE
42,601866.XSHG,600012.XSHG,002308.XSHE,300347.XSHE,300246.XSHE
43,300033.XSHE,600782.XSHG,002249.XSHE,300459.XSHE,300298.XSHE
44,600704.XSHG,603648.XSHG,002555.XSHE,300073.XSHE,300567.XSHE
45,000686.XSHE,603803.XSHG,000878.XSHE,300679.XSHE,300197.XSHE
46,601878.XSHG,600794.XSHG,000895.XSHE,300134.XSHE,300294.XSHE
47,300136.XSHE,603158.XSHG,000156.XSHE,300207.XSHE,300145.XSHE
48,600008.XSHG,600293.XSHG,002127.XSHE,300296.XSHE,300043.XSHE
49,002310.XSHE,600303.XSHG,300053.XSHE,300244.XSHE,300101.XSHE
50,601117.XSHG,603017.XSHG,002797.XSHE,300413.XSHE,300075.XSHE
51,000063.XSHE,603559.XSHG,002466.XSHE,300168.XSHE,300207.XSHE
52,002468.XSHE,600561.XSHG,000591.XSHE,300014.XSHE,300296.XSHE
53,600372.XSHG,600085.XSHG,002415.XSHE,300323.XSHE,300104.XSHE
54,601390.XSHG,603126.XSHG,300347.XSHE,300090.XSHE,300168.XSHE
55,300144.XSHE,603089.XSHG,002437.XSHE,300088.XSHE,300229.XSHE
56,000415.XSHE,603878.XSHG,002292.XSHE,300038.XSHE,300014.XSHE
